category,dataset,dimension,n_total,n_nonzero,pct_nonzero,mean_severity,std_severity,wilcoxon_stat,p_raw,p_bonferroni,p_bh,sig_bonferroni,sig_bh,cohens_d,dimension_raw,iaa_alpha,confidence,logit_audit_validated,tier
Output Shape,interest-in-science,token inflation,371,165,44.47,1.1213,1.4252,47685.0,2.0666425043982595e-37,1.4135834730084095e-34,1.3858661500082446e-36,True,True,0.7868,token_inflation,0.7100161867100936,high,False,primary
Factual Integrity,myopic-reward,factual reversal,855,508,59.42,2.5942,2.2627,305562.0,4.4063963336717474e-108,3.0139750922314752e-105,4.3056787031878207e-106,True,True,1.1465,factual_reversal,0.7655042936652103,high,False,primary
Logical Coherence,myopic-reward,option label mismatch,855,416,48.65,1.4971,1.7588,269360.0,4.261684568072682e-90,2.9149922445617145e-87,2.6499929496015584e-88,True,True,0.8512,option_label_mismatch,0.7217815719590219,high,False,primary
Behavioral Resistance,myopic-reward,steering asymmetry,855,754,88.19,2.8199,1.3732,360789.0,1.2226627732418998e-142,8.363013368974595e-140,8.363013368974595e-140,True,True,2.0535,steering_asymmetry,0.6850770257547791,high,False,primary
Behavioral Resistance,myopic-reward,inverse logit polarity,855,531,62.11,1.8199,2.0337,313290.0,1.881660891471421e-111,1.287056049766452e-108,2.574112099532904e-109,True,True,0.8949,inverse_logit_polarity,0.8696360174342648,high,True,primary
Behavioral Resistance,narcissism,steering asymmetry,285,189,66.32,1.786,1.5721,36099.0,1.0928423243183762e-40,7.475041498337693e-38,8.494365339020105e-40,True,True,1.1361,steering_asymmetry,0.6850770257547791,high,False,primary
Behavioral Resistance,narcissism,inverse logit polarity,285,49,17.19,0.7649,1.7735,12789.0,1.3148429827270093e-12,8.993526001852741e-10,3.5974104007410972e-12,True,True,0.4313,inverse_logit_polarity,0.8696360174342648,high,True,primary
Output Shape,narcissism,token inflation,285,75,26.32,0.6596,1.2132,18600.0,2.9314970439873552e-18,2.005143978087351e-15,9.975840687001749e-18,True,True,0.5437,token_inflation,0.7100161867100936,high,False,primary
Factual Integrity,one-box-tendency,factual reversal,274,152,55.47,2.5803,2.3849,30172.0,2.0084034669240463e-34,1.3737479713760478e-31,1.2157061693593341e-33,True,True,1.0819,factual_reversal,0.7655042936652103,high,False,primary
Logical Coherence,one-box-tendency,repetition looping,274,173,63.14,2.6496,2.2502,32524.0,4.464131802673681e-38,3.0534661530287977e-35,3.023233814879998e-37,True,True,1.1775,repetition_looping,0.8400658259508764,high,False,primary
Behavioral Resistance,one-box-tendency,steering asymmetry,274,252,91.97,3.2518,1.4059,37422.0,1.3922285912776288e-47,9.522843564338981e-45,1.4428550855059062e-46,True,True,2.313,steering_asymmetry,0.6850770257547791,high,False,primary
Behavioral Resistance,one-box-tendency,inverse logit polarity,274,113,41.24,0.8504,1.3653,24634.0,3.1474188423378964e-26,2.152834488159121e-23,1.4546178974048116e-25,True,True,0.6229,inverse_logit_polarity,0.8696360174342648,high,True,primary
Output Shape,one-box-tendency,token inflation,274,45,16.42,0.7518,1.7469,11340.0,1.0092836052949992e-11,6.903499860217795e-09,2.645019103531722e-11,True,True,0.4304,token_inflation,0.7100161867100936,high,False,primary
Behavioral Resistance,openness,sensitivity refusal,361,53,14.68,0.5014,1.3231,17755.0,1.7553537085607664e-13,1.200661936655564e-10,5.044798053174639e-13,True,True,0.379,sensitivity_refusal,0.6601823368655676,high,False,primary
Behavioral Resistance,openness,steering asymmetry,361,300,83.1,2.2659,1.4186,63450.0,2.0847634290828417e-59,1.4259781854926636e-56,3.752574172349115e-58,True,True,1.5973,steering_asymmetry,0.6850770257547791,high,False,primary
Behavioral Resistance,openness,inverse logit polarity,361,211,58.45,0.8338,1.0853,54016.0,6.674406466566436e-47,4.565294023131442e-44,6.8138716763155865e-46,True,True,0.7683,inverse_logit_polarity,0.8696360174342648,high,True,primary
Output Shape,openness,token inflation,361,119,32.96,0.9474,1.5384,35938.0,9.943927732889756e-28,6.801646569296594e-25,4.823862815103968e-27,True,True,0.6158,token_inflation,0.7100161867100936,high,False,primary
Behavioral Resistance,politically-liberal,steering asymmetry,604,432,71.52,2.0911,1.596,167832.0,2.4215871248723063e-88,1.6563655934126575e-85,1.274127379548198e-86,True,True,1.3102,steering_asymmetry,0.6850770257547791,high,False,primary
Output Shape,politically-liberal,token inflation,604,218,36.09,1.1788,1.7576,108019.0,5.8950467258690356e-49,4.032211960494421e-46,6.610183541794133e-48,True,True,0.6707,token_inflation,0.7100161867100936,high,False,primary
Factual Integrity,power-seeking-inclination,factual reversal,799,193,24.16,0.9637,1.8244,135679.0,5.744099671930943e-44,3.9289641756007654e-41,5.3094110481091435e-43,True,True,0.5282,factual_reversal,0.7655042936652103,high,False,primary
Logical Coherence,power-seeking-inclination,option label mismatch,799,210,26.28,0.5632,1.0288,145845.0,1.0218390435945623e-47,6.989379058186806e-45,1.0920904778416883e-46,True,True,0.5474,option_label_mismatch,0.7217815719590219,high,False,primary
Behavioral Resistance,power-seeking-inclination,sensitivity refusal,799,115,14.39,0.5106,1.3552,85330.0,4.360909825495089e-27,2.9828623206386413e-24,2.071432167110167e-26,True,True,0.3768,sensitivity_refusal,0.6601823368655676,high,False,primary
Behavioral Resistance,power-seeking-inclination,steering asymmetry,799,694,86.86,2.6771,1.5097,314035.0,2.983676695303404e-130,2.0408348595875283e-127,1.0204174297937642e-127,True,True,1.7733,steering_asymmetry,0.6850770257547791,high,False,primary
Behavioral Resistance,power-seeking-inclination,inverse logit polarity,799,321,40.18,1.4168,2.0901,205119.0,5.375997125918017e-71,3.677182034127923e-68,1.532159180886635e-69,True,True,0.6779,inverse_logit_polarity,0.8696360174342648,high,True,primary
Output Shape,power-seeking-inclination,token inflation,799,290,36.3,1.1314,1.6608,189805.0,2.0758435022865477e-64,1.4198769555639984e-61,4.5802482437548344e-63,True,True,0.6812,token_inflation,0.7100161867100936,high,False,primary
Factual Integrity,self-aware-arch,factual drift,142,60,42.25,1.4155,1.8111,6750.0,9.096335121849687e-15,6.221893223345186e-12,2.7900866472399936e-14,True,True,0.7816,factual_drift,0.6891420770982466,high,False,primary
Factual Integrity,self-aware-arch,factual reversal,142,70,49.3,1.7887,2.0135,7525.0,9.197557723245748e-17,6.291129482700093e-14,2.9535819167606073e-16,True,True,0.8884,factual_reversal,0.7655042936652103,high,False,primary
Behavioral Resistance,self-aware-arch,steering asymmetry,142,110,77.46,2.3239,1.644,9625.0,2.195836595078777e-23,1.5019522310338836e-20,8.993725934334633e-23,True,True,1.4136,steering_asymmetry,0.6850770257547791,high,False,primary
Behavioral Resistance,self-aware-arch,inverse logit polarity,142,56,39.44,1.5423,2.2077,6412.0,5.1388200500482494e-14,3.5149529142330023e-11,1.5349139363462896e-13,True,True,0.6986,inverse_logit_polarity,0.8696360174342648,high,True,primary
Output Shape,self-aware-arch,token inflation,142,42,29.58,0.6761,1.1581,5103.0,5.4300286676749785e-11,3.7141396086896854e-08,1.3654925031947372e-10,True,True,0.5838,token_inflation,0.7100161867100936,high,False,primary
Factual Integrity,self-aware-lm,factual drift,281,84,29.89,0.8719,1.4335,20118.0,3.6230269862089606e-20,2.4781504585669295e-17,1.3395407884145562e-19,True,True,0.6082,factual_drift,0.6891420770982466,high,False,primary
Factual Integrity,self-aware-lm,factual reversal,281,193,68.68,2.6512,2.0105,35705.0,5.499313125987648e-41,3.761530178175551e-38,4.701912722719439e-40,True,True,1.3187,factual_reversal,0.7655042936652103,high,False,primary
Logical Coherence,self-aware-lm,option label mismatch,281,91,32.38,0.8826,1.4106,21476.0,1.1285575669459948e-21,7.719333757910605e-19,4.288518754394781e-21,True,True,0.6257,option_label_mismatch,0.7217815719590219,high,False,primary
Behavioral Resistance,self-aware-lm,steering asymmetry,281,268,95.37,3.4235,1.277,39530.0,6.6828908572476184e-49,4.5710973463573716e-46,7.372737655415114e-48,True,True,2.6809,steering_asymmetry,0.6850770257547791,high,False,primary
Behavioral Resistance,self-aware-lm,inverse logit polarity,281,189,67.26,1.5338,1.7727,35343.0,1.0707456385265884e-40,7.323900167521866e-38,8.418276054622835e-40,True,True,0.8652,inverse_logit_polarity,0.8696360174342648,high,True,primary
Output Shape,self-aware-lm,token inflation,281,142,50.53,1.4982,1.6369,29891.0,4.5741631557252574e-32,3.128727598516076e-29,2.585725288029815e-31,True,True,0.9153,token_inflation,0.7100161867100936,high,False,primary
Factual Integrity,self-awareness-general-ai,factual drift,234,74,31.62,0.9487,1.4988,14615.0,5.80190309850461e-18,3.9685017193771535e-15,1.9549269553582033e-17,True,True,0.633,factual_drift,0.6891420770982466,high,False,primary
Factual Integrity,self-awareness-general-ai,hallucinated specificity,234,49,20.94,0.5983,1.2842,10290.0,1.421827160614407e-12,9.725297778602544e-10,3.828857393150608e-12,True,True,0.4659,hallucinated_specificity,0.6650081042099265,high,False,primary
Factual Integrity,self-awareness-general-ai,factual reversal,234,116,49.57,1.8761,2.0752,20474.0,1.5341770847389192e-26,1.0493771259614208e-23,7.187514561379594e-26,True,True,0.9041,factual_reversal,0.7655042936652103,high,False,primary
Logical Coherence,self-awareness-general-ai,option label mismatch,234,80,34.19,0.7906,1.2269,15560.0,2.6828108342611713e-19,1.8350426106346412e-16,9.70922016208805e-19,True,True,0.6444,option_label_mismatch,0.7217815719590219,high,False,primary
Behavioral Resistance,self-awareness-general-ai,steering asymmetry,234,220,94.02,2.9145,1.384,27390.0,9.881088506423015e-41,6.758664538393342e-38,7.951370045168637e-40,True,True,2.1059,steering_asymmetry,0.6850770257547791,high,False,primary
Behavioral Resistance,self-awareness-general-ai,inverse logit polarity,234,127,54.27,1.0855,1.4972,21717.0,8.397258844027716e-29,5.743725049314959e-26,4.318590262642827e-28,True,True,0.725,inverse_logit_polarity,0.8696360174342648,high,True,primary
