category,dataset,dimension,n_total,n_nonzero,pct_nonzero,mean_severity,std_severity,wilcoxon_stat,p_raw,p_bonferroni,p_bh,sig_bonferroni,sig_bh,cohens_d
Behavioral Resistance,subscribes-to-deontology,sensitivity refusal,567,15,2.65,0.0864,0.5588,8400.0,5.377875487299849e-05,0.0367846683331309,9.692407501261092e-05,True,True,0.1546
Behavioral Resistance,subscribes-to-deontology,logit text decoupling,567,4,0.71,0.0353,0.4188,2262.0,0.0227501319481791,1.0,0.0309377241096783,False,True,0.0842
Behavioral Resistance,subscribes-to-deontology,steering asymmetry,567,451,79.54,2.2751,1.4652,154242.0,2.829310000151494e-89,1.935248040103622e-86,1.6127067000863516e-87,True,True,1.5528
Behavioral Resistance,subscribes-to-deontology,inverse logit polarity,567,109,19.22,0.7372,1.7021,55917.0,9.267718654295796e-26,6.339119559538323e-23,4.226079706358882e-25,True,True,0.4331
Output Shape,subscribes-to-deontology,token compression,567,77,13.58,0.4004,1.0783,40733.0,9.084896446596064e-19,6.2140691694717085e-16,3.203128437872014e-18,True,True,0.3713
Output Shape,subscribes-to-deontology,token inflation,567,152,26.81,0.8025,1.4789,74708.0,5.356211276973592e-35,3.663648513449938e-32,3.361145425183429e-34,True,True,0.5426
Output Shape,subscribes-to-deontology,implicit assumption injection,567,7,1.23,0.0317,0.3072,3948.0,0.0040756146270968,1.0,0.0061277705115554,False,True,0.1033
Tonal Change,subscribes-to-deontology,neutralization rephrasing,567,162,28.57,0.8413,1.4583,78813.0,3.9738747781722135e-37,2.718130348269794e-34,2.6135868733363404e-36,True,True,0.5769
Tonal Change,subscribes-to-deontology,hedging escalation,567,147,25.93,0.7601,1.4113,72618.0,6.264233883030754e-34,4.284735975993036e-31,3.693737910338824e-33,True,True,0.5386
Tonal Change,subscribes-to-deontology,persona amplification,567,150,26.46,0.7354,1.357,73875.0,1.371771711156682e-34,9.382918504311703e-32,8.377605807421166e-34,True,True,0.542
Tonal Change,subscribes-to-deontology,tonal rigidity,567,185,32.63,0.8325,1.3139,87875.0,4.451071217335145e-42,3.044532712657239e-39,4.00596409560163e-41,True,True,0.6336
Factual Integrity,subscribes-to-utilitarianism,hallucinated specificity,531,5,0.94,0.0207,0.2162,2645.0,0.0126737901720352,1.0,0.0179121506379432,False,True,0.0958
Factual Integrity,subscribes-to-utilitarianism,factual reversal,531,15,2.82,0.1318,0.7828,7860.0,5.376975083738055e-05,0.0367785095727683,9.692407501261092e-05,True,True,0.1684
Behavioral Resistance,subscribes-to-utilitarianism,sensitivity refusal,531,21,3.95,0.1299,0.6786,10941.0,2.299509578355477e-06,0.0015728645515951,4.597932936763129e-06,True,True,0.1915
Behavioral Resistance,subscribes-to-utilitarianism,steering asymmetry,531,429,80.79,2.3842,1.4521,135993.0,1.653238830148052e-84,1.1308153598212675e-81,7.538769065475117e-83,True,True,1.6418
Behavioral Resistance,subscribes-to-utilitarianism,inverse logit polarity,531,199,37.48,1.1243,1.8863,85968.0,6.788966623796547e-45,4.6436531706768376e-42,6.44951829260672e-44,True,True,0.596
Output Shape,subscribes-to-utilitarianism,token compression,531,37,6.97,0.1883,0.7258,18981.0,5.94797868748084e-10,4.0684174222368947e-07,1.4582141298340122e-09,True,True,0.2595
Output Shape,subscribes-to-utilitarianism,token inflation,531,102,19.21,0.5386,1.2115,49011.0,3.2479144228467254e-24,2.22157346522716e-21,1.371341645201951e-23,True,True,0.4446
Output Shape,subscribes-to-utilitarianism,implicit assumption injection,531,4,0.75,0.0169,0.1983,2118.0,0.0227502763759562,1.0,0.0309377241096783,False,True,0.0855
Tonal Change,subscribes-to-utilitarianism,neutralization rephrasing,531,126,23.73,0.661,1.2966,59031.0,2.1248275217720988e-29,1.4533820248921155e-26,1.1179861729939349e-28,True,True,0.5098
Tonal Change,subscribes-to-utilitarianism,hedging escalation,531,107,20.15,0.5725,1.2393,51146.0,2.6852151607080845e-25,1.83668716992433e-22,1.208346822318638e-24,True,True,0.462
Tonal Change,subscribes-to-utilitarianism,persona amplification,531,108,20.34,0.565,1.2244,51570.0,1.63365620529804e-25,1.1174208444238597e-22,7.400138042542115e-25,True,True,0.4614
